lr,raw_loss,smooth_loss
7.58577575e-04,1.286227,3.718068
7.94328235e-04,1.256127,3.667872
8.31763771e-04,1.413517,3.621926
8.70963590e-04,1.351866,3.575678
9.12010839e-04,1.312041,3.529578
9.54992586e-04,1.479788,3.487848
1.00000000e-03,1.356067,3.444465
1.04712855e-03,1.310674,3.401056
1.09647820e-03,1.274981,3.357819
1.14815362e-03,1.415050,3.318323
1.20226443e-03,1.386268,3.279057
1.25892541e-03,1.033022,3.233426
1.31825674e-03,1.086989,3.189831
1.38038426e-03,1.417849,3.153853
1.44543977e-03,1.133112,3.112837
1.51356125e-03,1.214215,3.074311
1.58489319e-03,1.502920,3.042434
1.65958691e-03,1.221314,3.005502
1.73780083e-03,1.625569,2.977525
1.81970086e-03,1.656070,2.950741
1.90546072e-03,1.422875,2.919781
1.99526231e-03,1.356360,2.888110
2.08929613e-03,1.331864,2.856592
2.18776162e-03,1.641186,2.831983
2.29086765e-03,1.268831,2.800340
2.39883292e-03,1.535938,2.774752
2.51188643e-03,1.411101,2.747161
2.63026799e-03,1.374189,2.719389
2.75422870e-03,1.280266,2.690285
2.88403150e-03,1.245957,2.661082
3.01995172e-03,1.317693,2.633926
3.16227766e-03,1.233636,2.605626
3.31131121e-03,1.317727,2.579603
3.46736850e-03,1.338177,2.554523
3.63078055e-03,1.514101,2.533509
3.80189396e-03,1.439925,2.511426
3.98107171e-03,1.326867,2.487510
4.16869383e-03,1.442755,2.466420
4.36515832e-03,1.511992,2.447158
4.57088190e-03,1.792669,2.433951
4.78630092e-03,1.738330,2.419917
5.01187234e-03,1.531207,2.401990
5.24807460e-03,1.475523,2.383305
5.49540874e-03,1.382139,2.363117
5.75439937e-03,1.417178,2.344046
6.02559586e-03,1.299910,2.322998
6.30957344e-03,1.475701,2.305921
6.60693448e-03,1.538773,2.290462
6.91830971e-03,1.326038,2.271030
7.24435960e-03,1.381490,2.253110
7.58577575e-03,1.575161,2.239454
7.94328235e-03,1.402224,2.222592
8.31763771e-03,1.748228,2.213040
8.70963590e-03,2.835413,2.225571
9.12010839e-03,1.807188,2.217148
9.54992586e-03,2.217284,2.217151
1.00000000e-02,2.571558,2.224284
1.04712855e-02,4.269876,2.265449
1.09647820e-02,3.837550,2.297082
1.14815362e-02,2.620458,2.303588
1.20226443e-02,3.158023,2.320776
1.25892541e-02,1.930797,2.312932
1.31825674e-02,1.989714,2.306431
1.38038426e-02,7.570958,2.412299
1.44543977e-02,3.296532,2.430078
1.51356125e-02,2.282256,2.427106
1.58489319e-02,2.803786,2.434679
1.65958691e-02,5.701346,2.500342
1.73780083e-02,12.190980,2.695114
1.81970086e-02,3.948588,2.720305
1.90546072e-02,23.515450,3.138185
1.99526231e-02,2.304274,3.121429
2.08929613e-02,2.493664,3.108816
2.18776162e-02,7.823808,3.203538
2.29086765e-02,23.013035,3.601464
2.39883292e-02,140.856384,6.358351
2.51188643e-02,6.269814,6.356573
2.63026799e-02,14.112709,6.512335
2.75422870e-02,35.200279,7.088413
2.88403150e-02,5.807674,7.062697
3.01995172e-02,12.300991,7.167869
3.16227766e-02,5.809334,7.140595
3.31131121e-02,60.390938,8.209570
3.46736850e-02,17.588554,8.397835
3.63078055e-02,18.049437,8.591557
3.80189396e-02,14.175378,8.703625
3.98107171e-02,4.068149,8.610597
4.16869383e-02,15.658895,8.752038
4.36515832e-02,54.454552,9.669104
